Name of person who asked you to complete this survey,Do you have a Costco membership?,How many cars do you own?,Do you prefer personally driving or relying on other transportation?,How many siblings do you have?,What is your favorite genre of music?,Do you prefer online shopping or in person shopping?,What type of food do you prefer?,Are you lactose intolerant?,How many close friends do you have?,How many kids do you have?,Are you a dog or cat person?,What color lightsaber would you pick?,What is your starter Pokemon?,What is your average daily cellular screen time?
Kenneth Chen,Yes,1,driving,2,R & B,online shopping,Japanese,No,3,0,dog,white,Squirtle,1 - 2 hours
Kenneth Chen,Yes,2,driving,2,pop,online shopping,Japanese,Yes,5,3,dog,red,none,Less than 1 hour
Julie ,Yes,2,driving,2,R & B,online shopping,Mexican,No,5,0,dog,purple,Charmander,more than 5 hours
Megan,Yes,1,driving,2,Rock,online shopping,Japanese,Yes,8,0,dog,red,Charmander,more than 5 hours
Julie Faria,Yes,2,other transportation,4,R & B,in person shopping,Japanese,No,4,0,dog,orange,Squirtle,more than 5 hours
Kenneth Chen,No,1,driving,2,electronic,online shopping,Japanese,Yes,8,0,cat,purple,Squirtle,3 - 4 hours
Andrew,No,3,driving,1,Alternative rock,in person shopping,Japanese,No,12,0,dog,red,Charmander,more than 5 hours
Joyce Tsai,Yes,4,driving,0,Easy listening ,online shopping,Chinese,No,1,2,dog,green blue,none,3 - 4 hours
Kenneth,Yes,1,driving,8,R & B,online shopping,Mexican,No,6,0,dog,purple,Charmander,more than 5 hours
Julie Faria,No,2,driving,4,rap,online shopping,Mexican,I don't know,5,0,dog,purple,Charmander,more than 5 hours
joyce,Yes,4,driving,3,R & B,in person shopping,Chinese,No,1,2,neither,green blue,Charmander,more than 5 hours
joyce,No,1,driving,1,pop,online shopping,Japanese,No,2,0,dog,purple,Bulbasaur,more than 5 hours
Julie ,No,1,driving,1,All,online shopping,Mexican,I don't know,0,0,neither,black,Squirtle,more than 5 hours
Jillian Lampaya,Yes,2,driving,0,R & B,online shopping,Chinese,Yes,3,0,cat,black,Charmander,3 - 4 hours
Jillian Lampaya,Yes,2,driving,2,pop,online shopping,Chinese,No,3,0,cat,green blue,Charmander,more than 5 hours
Jillian Lampaya,Yes,1,driving,2,Kpop,in person shopping,Japanese,No,7,0,dog,purple,Squirtle,more than 5 hours
Jillian Lampaya ,Yes,1,driving,1,pop,online shopping,Japanese,No,4,0,cat,white,Bulbasaur,more than 5 hours
